"ID","Name","Description","PicturePath","Active","CreatedBy","ChangedBy","CreationDate","ChangeDate","Version","Tenant","Alias","ShortDescription","StartTime","EndTime","StartLocation","SportsCategory","MaxDistanceMeter","MaxLaps","NumberOfParticipants","StartNumberMin","StartNumberMax","TeamCount","AgeMin","AgeMax","SportsEventId","RegisterBy","AgeGroupID","AgeGroupID1","CategorySTatus","MapZoomFaktor","latitudeMapCenter","latitudeStart","longitudeMapCenter","longitudeStart","CategoryType","TimeType"
"055e6b32-c492-42d0-9ab2-e533e4abe6dd","Deutsch-Tschechischer Grenzlauf ""Durch das Khaatal""","Deutsch-Tschechischer Grenzlauf ""Durch das Khaatal""",NULL,"1",NULL,NULL,"2021-08-12 21:50:26.594865","2021-08-12 21:50:26.594872","0",NULL,"deutsch-tschechischer-grenzlau","L 15","2021-08-15 09:30:02.000000",NULL,"Hinterhermsdorf","Laufen","15000.000000000000000000000000000000",NULL,NULL,"0","0",NULL,"1","150","a4b4a5f5-8fdd-49c9-ba8f-d8636a7b18b4","2021-08-11 23:59:00.000000","4e47221a-2ad9-47f7-993e-16d6557641c4",NULL,"4","16","50.9248821","50.9248821","14.3561968","14.3561968","0","1"
"05838bb0-e385-4c33-aa4d-0da5f7303a61","5 km Lübbenauer Nachtlauf","5 km Lübbenauer Nachtlauf",NULL,"1",NULL,NULL,"2020-06-14 14:49:37.465881","2020-06-14 14:49:37.465886","0",NULL,"5-km-lbbenauer-nachtlauf","LNL","2020-04-17 20:30:00.000000",NULL,"Lübbenau","Laufen","5000.000000000000000000000000000000",NULL,NULL,"0","0",NULL,"1","150","b26238c9-fb2f-4825-9a61-319839359ae4","2020-06-01 17:00:00.000000","4e47221a-2ad9-47f7-993e-16d6557641c4",NULL,NULL,"0",NULL,NULL,NULL,NULL,NULL,"1"
"05a384bd-f41d-43f0-bdc8-f725b773ef39","10 km Rad-Einzelzeitfahren","10 km Rad-Einzelzeitfahren",NULL,"1",NULL,NULL,"2020-09-05 20:20:49.132805","2020-09-05 20:20:49.132815","0",NULL,"10-km-rad-einzelzeitfahren","R 10","2020-09-06 10:00:01.000000",NULL,"Hirschfeld","Rad-Einzelzeitfahren","10000.000000000000000000000000000000",NULL,NULL,"0","0",NULL,"1","150","1e67bc7f-9921-43e4-adc8-9596cfc6fad1","2020-09-03 23:59:59.000000","4fc820b2-17d2-4e04-a593-2de5f97dd910",NULL,"4","16","51.388647","51.388647","13.619686","13.619686","0","2"
"05d28b85-6648-47f3-8058-31df2e017fad","3 km Weinbergwanderung & Weinproben","3 km Weinbergwanderung & Weinproben",NULL,"1",NULL,NULL,"2022-07-07 08:50:49.830008","2022-07-07 08:50:49.830012","0",NULL,"3-km-weinbergwanderung-weinpro","Wein_1","2022-07-09 20:10:00.000000",NULL,"Großräschen","Wandern","3000.000000000000000000000000000000",NULL,NULL,"0","0",NULL,"1","150","36e2ba7f-6aaf-4c51-a638-708c70294443","2022-07-07 23:00:00.000000","1e9af348-74fa-4c0d-b060-c9f686eff8e1",NULL,"0","16","51.5752455","51.5752455","14.0101711","14.0101711","0","0"
"06d77861-4caf-4c02-8b1a-7468091dec81","Walken ""Rund um den Weifberg""","Walken ""Rund um den Weifberg""",NULL,"1",NULL,NULL,"2020-08-05 15:58:02.441194","2020-08-05 15:58:02.441201","0",NULL,"walken-rund-um-den-weifberg","Wlk 10_So","2020-08-09 09:30:01.000000",NULL,"Hinterhermsdorf","Walken","10000.000000000000000000000000000000",NULL,NULL,"0","0",NULL,"1","150","90c3d3aa-3214-4a31-a6be-599909aad308","2020-08-04 09:00:00.000000","8ad479ab-7654-4702-9b1b-7aaacc5af6ad",NULL,"4","16","50.9258955","50.9258955","14.3588375 ","14.3588375",NULL,"2"
"07c3e895-2e53-41d2-a26c-a9f25fcc422f","500m Zwergenlauf AK U8 und jünger (7 Jahre und jünger) m/w","500m Zwergenlauf AK U8 und jünger (7 Jahre und jünger) m/w",NULL,"1",NULL,NULL,"2020-09-22 11:03:56.791145","2020-09-22 11:03:56.791165","0",NULL,"500-zwergenlauf-ak-u8-und-jnger-7-","L 0,5","2020-09-27 12:00:01.000000",NULL,"Skiheim in Elstra OT Talpenberg","Laufen","500.000000000000000000000000000000",NULL,NULL,"0","0",NULL,"1","150","edc55936-1045-4177-bc4a-c2fc770571a7","2020-09-26 23:59:59.000000","4e47221a-2ad9-47f7-993e-16d6557641c4",NULL,"4","16","51.2171354","51.2171354","14.1148072","14.1148072","0","1"
"081290D8-DDBA-4D0E-B0C4-93647AC3ED8C","400 m Lauf","400 m Lauf",NULL,"1",NULL,NULL,"2021-09-04 12:41:17.204680","2021-09-24 12:41:17.204688","0",NULL,"400-m-Lauf","400m","2021-09-04 14:00:00.000000",NULL,,"Laufen","400.000000000000000000000000000000",NULL,NULL,"0","0",NULL,"1","150","A99EF449-363C-43C7-A87B-EBE8B36F4F06","2021-08-21 23:59:59.000000","A1D349A3-9524-4BAA-906C-87C870529A14",NULL,"4","16","50.9826","50.9826","13.5388","13.5388","0","0"
"083199ab-6d13-45d6-8a27-b844614818d0","22,8 km Skate-Halbmarathon","22,8 km Skate-Halbmarathon",NULL,"1",NULL,NULL,"2020-06-14 14:49:27.628054","2020-06-14 14:49:27.628060","0",NULL,"228-km-skate-halbmarathon","S 22,8","2020-04-19 08:30:00.000000",NULL,"Burg","Skaten","22800.000000000000000000000000000000",NULL,NULL,"0","0",NULL,"1","150","b26238c9-fb2f-4825-9a61-319839359ae4","2020-06-01 17:00:00.000000","4e47221a-2ad9-47f7-993e-16d6557641c4",NULL,NULL,"0",NULL,NULL,NULL,NULL,NULL,"1"
"084de692-ee0e-4a75-87af-0da3a3628689","Lauf ""Zur Emmabank-Aussicht""","Lauf ""Zur Emmabank-Aussicht""",NULL,"1",NULL,NULL,"2021-08-12 21:50:28.122949","2021-08-12 21:50:28.122978","0",NULL,"lauf-zur-emmabank-aussicht","L 5","2021-08-15 09:20:00.000000",NULL,"Hinterhermsdorf","Laufen","5500.000000000000000000000000000000",NULL,NULL,"0","0",NULL,"1","150","a4b4a5f5-8fdd-49c9-ba8f-d8636a7b18b4","2021-08-11 23:59:00.000000","4e47221a-2ad9-47f7-993e-16d6557641c4",NULL,"4","16","50.9248821","50.9248821","14.3561968","14.3561968","0","1"
"0850a264-61f2-4a82-a3a9-f0faed077128","10 km Walken","10 km Walken",NULL,"1",NULL,NULL,"2020-06-14 14:49:20.517036","2020-06-14 14:49:20.517047","0",NULL,"10-km-walken","Wlk 10","2020-04-19 10:35:00.000000",NULL,"Burg","Walken","10000.000000000000000000000000000000",NULL,NULL,"0","0",NULL,"1","150","b26238c9-fb2f-4825-9a61-319839359ae4","2020-06-01 17:00:00.000000","4e47221a-2ad9-47f7-993e-16d6557641c4",NULL,NULL,"0",NULL,NULL,NULL,NULL,NULL,"1"
